validation_mode,level,universe,ticker,window,window_weeks,start_date,end_date,strategy,final_value,total_contributed,total_invested,cash_remaining,return_on_contributed_pct,return_on_invested_pct,cagr_on_contributed_pct,max_drawdown_pct,volatility_pct,sharpe_ratio,calmar_ratio,buy_actions,average_buy_amount
true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_039_091,52,2022-03-14,2023-03-06,hybrid_80_20,5027.53,5200.0,5191.31,8.69,-3.32,-3.15,-3.32,3.63,116.58,3.953,-0.914,52,99.73
true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_039_091,52,2022-03-14,2023-03-06,trend_aware_hybrid,5026.98,5200.0,5195.42,4.58,-3.33,-3.24,-3.33,3.63,116.59,3.953,-0.917,52,99.81
true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_039_091,52,2022-03-14,2023-03-06,fixed_weekly_dca,7045.88,5200.0,5200.0,-0.0,35.5,35.5,35.5,15.24,120.77,4.161,2.329,52,99.9
true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_039_091,52,2022-03-14,2023-03-06,simple_dip_buy,6986.36,5200.0,4893.24,306.76,34.35,42.78,34.35,14.6,118.65,4.217,2.353,52,94.01
true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_039_091,52,2022-03-14,2023-03-06,risk_adjusted_v2,6727.04,5200.0,4187.18,1012.82,29.37,60.66,29.37,11.29,116.33,4.242,2.602,52,80.44
true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_039_091,52,2022-03-14,2023-03-06,hybrid_70_30,7028.2,5200.0,5109.47,90.53,35.16,37.55,35.16,15.02,120.11,4.179,2.341,52,98.16
true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_039_091,52,2022-03-14,2023-03-06,hybrid_80_20,7034.17,5200.0,5140.32,59.68,35.27,36.84,35.27,15.1,120.33,4.173,2.337,52,98.75
true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_039_091,52,2022-03-14,2023-03-06,trend_aware_hybrid,7051.07,5200.0,5200.0,-0.0,35.6,35.6,35.6,15.1,120.35,4.175,2.358,52,99.9
true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_039_091,52,2022-03-14,2023-03-06,fixed_weekly_dca,32515.66,31200.0,31200.0,0.0,4.22,4.22,4.22,5.95,116.38,4.028,0.709,312,99.9
true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_039_091,52,2022-03-14,2023-03-06,simple_dip_buy,32560.41,31200.0,30486.34,713.66,4.36,6.8,4.36,5.45,115.93,4.042,0.8,312,97.62
true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_039_091,52,2022-03-14,2023-03-06,risk_adjusted_v2,32254.81,31200.0,29414.7,1785.3,3.38,9.66,3.38,4.92,115.74,4.037,0.687,312,94.18
true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_039_091,52,2022-03-14,2023-03-06,hybrid_70_30,32527.79,31200.0,30996.57,203.43,4.26,4.94,4.26,5.8,116.25,4.032,0.733,312,99.25
true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_039_091,52,2022-03-14,2023-03-06,hybrid_80_20,32523.11,31200.0,31068.94,131.06,4.24,4.68,4.24,5.85,116.29,4.03,0.725,312,99.48
true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_039_091,52,2022-03-14,2023-03-06,trend_aware_hybrid,32530.05,31200.0,31181.33,18.67,4.26,4.33,4.26,5.88,116.3,4.03,0.725,312,99.84
