analysis_type,validation_mode,level,universe,ticker,window,window_weeks,strategy,target_invested,actual_invested,normalized_final_value,normalized_return_pct
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_013_065,52,fixed_weekly_dca,30769.76,31200.0,27082.23,-11.98
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_013_065,52,simple_dip_buy,30769.76,30810.62,27559.51,-10.43
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_013_065,52,risk_adjusted_v2,30769.76,30769.76,27563.66,-10.42
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_013_065,52,hybrid_70_30,30769.76,31093.47,27213.62,-11.56
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_013_065,52,hybrid_80_20,30769.76,31133.88,27164.81,-11.72
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_013_065,52,trend_aware_hybrid,30769.76,31167.51,27127.01,-11.84
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_026_078,52,fixed_weekly_dca,5154.99,5200.0,4701.59,-8.8
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_026_078,52,simple_dip_buy,5154.99,5154.99,4761.49,-7.63
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_026_078,52,risk_adjusted_v2,5154.99,5200.0,4706.76,-8.7
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_026_078,52,hybrid_70_30,5154.99,5189.72,4716.26,-8.51
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_026_078,52,hybrid_80_20,5154.99,5193.97,4710.47,-8.62
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_026_078,52,trend_aware_hybrid,5154.99,5197.49,4705.41,-8.72
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_026_078,52,fixed_weekly_dca,4937.23,5200.0,5285.54,7.05
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_026_078,52,simple_dip_buy,4937.23,5039.22,5468.47,10.76
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_026_078,52,risk_adjusted_v2,4937.23,4937.23,5553.67,12.49
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_026_078,52,hybrid_70_30,4937.23,5152.33,5338.42,8.13
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_026_078,52,hybrid_80_20,4937.23,5168.5,5320.31,7.76
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_026_078,52,trend_aware_hybrid,4937.23,5186.47,5301.82,7.38
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_026_078,52,fixed_weekly_dca,4741.04,5200.0,4278.0,-9.77
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_026_078,52,simple_dip_buy,4741.04,5112.73,4392.61,-7.35
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_026_078,52,risk_adjusted_v2,4741.04,4741.04,4758.58,0.37
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_026_078,52,hybrid_70_30,4741.04,5174.24,4310.87,-9.07
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_026_078,52,hybrid_80_20,4741.04,5183.02,4299.36,-9.32
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_026_078,52,trend_aware_hybrid,4741.04,5183.02,4291.47,-9.48
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_026_078,52,fixed_weekly_dca,5139.88,5200.0,5278.77,2.7
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_026_078,52,simple_dip_buy,5139.88,5139.88,5346.38,4.02
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_026_078,52,risk_adjusted_v2,5139.88,5179.78,5298.7,3.09
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_026_078,52,hybrid_70_30,5139.88,5182.6,5297.95,3.08
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_026_078,52,hybrid_80_20,5139.88,5188.68,5291.11,2.94
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_026_078,52,trend_aware_hybrid,5139.88,5188.68,5291.11,2.94
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_026_078,52,fixed_weekly_dca,5156.01,5200.0,4671.54,-9.4
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_026_078,52,simple_dip_buy,5156.01,5156.01,4725.69,-8.35
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_026_078,52,risk_adjusted_v2,5156.01,5178.48,4698.66,-8.87
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_026_078,52,hybrid_70_30,5156.01,5187.16,4687.21,-9.09
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_026_078,52,hybrid_80_20,5156.01,5191.61,4681.75,-9.2
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_026_078,52,trend_aware_hybrid,5156.01,5191.61,4681.29,-9.21
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_026_078,52,fixed_weekly_dca,4750.45,5200.0,4491.9,-5.44
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_026_078,52,simple_dip_buy,4750.45,5024.21,4658.18,-1.94
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_026_078,52,risk_adjusted_v2,4750.45,4750.45,4918.79,3.54
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_026_078,52,hybrid_70_30,4750.45,5147.83,4539.91,-4.43
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_026_078,52,hybrid_80_20,4750.45,5165.48,4523.49,-4.78
