ticker,date,close,weekly_return,momentum_4w,momentum_12w,volatility_12w,drawdown_from_52w_high,sma_10,sma_20,rsi_14,macd,macd_signal,macd_histogram
BYDDY,2023-01-16,9.711667,-0.01404396,0.18918367,0.32824252,0.08238318,0.29361131,8.6296667,8.51783335,53.50264182,-0.3222533,-0.57153947,0.24928617
BYDDY,2023-01-23,10.583333,0.08975452,0.29222625,0.30283136,0.0806199,0.23020973,8.9001667,8.57533335,58.78834562,-0.16303004,-0.48983759,0.32680755
BYDDY,2023-01-30,10.735,0.01433074,0.22685714,0.30042399,0.0806406,0.21917806,9.2443334,8.6599167,59.64788643,-0.02432579,-0.39673523,0.37240944
BYDDY,2023-02-06,10.106667,-0.05853125,0.02605756,0.28284334,0.08174588,0.26488055,9.3883334,8.72250005,54.56999056,0.03449942,-0.3104883,0.34498772
BYDDY,2023-02-13,9.765,-0.0338061,0.00549164,0.33889403,0.07808288,0.28973207,9.4660001,8.8011667,51.97872342,0.05293891,-0.23780286,0.29074176
BYDDY,2023-02-20,9.255,-0.05222734,-0.12551178,0.06788457,0.06225382,0.32682748,9.5113334,8.8514167,48.29243557,0.02609874,-0.18502254,0.21112128
BYDDY,2023-02-27,9.661667,0.04394025,-0.09998444,0.074912,0.06258209,0.29724811,9.6608334,8.9296667,51.26065989,0.03721338,-0.14057535,0.17778873
BYDDY,2023-03-06,8.551667,-0.11488701,-0.15385883,-0.02840371,0.07171735,0.37798517,9.6970001,8.93225005,43.85986077,-0.04304967,-0.12107022,0.07802055
BYDDY,2023-03-13,8.583333,0.0037029,-0.12101045,0.05102032,0.06803404,0.37568191,9.6803334,8.99583335,44.10777459,-0.10291717,-0.11743961,0.01452244
BYDDY,2023-03-20,8.921667,0.03941755,-0.03601653,0.08933663,0.06868308,0.35107282,9.5875001,9.03575005,46.81043104,-0.12165945,-0.11828357,-0.00337587
BYDDY,2023-03-27,9.806667,0.09919671,0.01500776,0.12076194,0.07160662,0.28670138,9.5970001,9.1133334,53.18701504,-0.06435885,-0.10749863,0.04313978
BYDDY,2023-04-03,9.701667,-0.010707,0.1344767,-0.01505919,0.06208765,0.29433867,9.5088335,9.2045001,52.38460564,-0.02710785,-0.09142047,0.06431262
BYDDY,2023-04-10,9.516667,-0.01906889,0.10873795,-0.02007894,0.06221157,0.30779484,9.3870002,9.3156668,50.9267861,-0.01237151,-0.07561068,0.06323917
BYDDY,2023-04-17,9.458333,-0.00612967,0.06015311,-0.10629922,0.05543747,0.31203783,9.3221668,9.3552501,50.45003002,-0.00533838,-0.06155622,0.05621784
BYDDY,2023-04-24,10.108333,0.06872247,0.03076132,-0.05837606,0.05949516,0.26475937,9.3565001,9.4112501,55.4542099,0.05208459,-0.03882806,0.09091265
