task,target,model,importance_type,feature,value
classification,forward_4w_positive,logistic_regression,coefficient,numeric__momentum_12w,-0.2563696483
classification,forward_4w_positive,logistic_regression,coefficient,numeric__volatility_12w,-0.1586811759
classification,forward_4w_positive,logistic_regression,coefficient,numeric__drawdown_from_52w_high,0.1650549784
classification,forward_4w_positive,logistic_regression,coefficient,numeric__sma_10_distance,-0.2733708268
classification,forward_4w_positive,logistic_regression,coefficient,numeric__sma_20_distance,0.5493096902
classification,forward_4w_positive,logistic_regression,coefficient,numeric__rsi_14,-0.1181221707
classification,forward_4w_positive,logistic_regression,coefficient,numeric__macd,-0.0565854359
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_AAPL,0.0208382895
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_ASML,-0.0784427563
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_BYDDY,-0.0827869624
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_KO,-0.1987077716
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_MSFT,-0.0035738457
classification,forward_4w_positive,logistic_regression,coefficient,categorical__ticker_NVDA,0.3462599336
classification,forward_4w_positive,random_forest_classifier,feature_importance,numeric__weekly_return,0.1038759073
classification,forward_4w_positive,random_forest_classifier,feature_importance,numeric__momentum_4w,0.1082225421
classification,forward_4w_positive,random_forest_classifier,feature_importance,numeric__momentum_12w,0.1204438338
classification,forward_4w_positive,random_forest_classifier,feature_importance,numeric__volatility_12w,0.1360874855
classification,forward_4w_positive,random_forest_classifier,feature_importance,numeric__drawdown_from_52w_high,0.077535216
classification,forward_4w_positive,random_forest_classifier,feature_importance,numeric__sma_10_distance,0.0898213253
classification,forward_4w_positive,random_forest_classifier,feature_importance,numeric__sma_20_distance,0.0942577057
classification,forward_4w_positive,random_forest_classifier,feature_importance,numeric__rsi_14,0.0895160551
classification,forward_4w_positive,random_forest_classifier,feature_importance,numeric__macd,0.1408885552
classification,forward_4w_positive,random_forest_classifier,feature_importance,categorical__ticker_AAPL,0.0041996715
classification,forward_4w_positive,random_forest_classifier,feature_importance,categorical__ticker_ASML,0.0042858868
classification,forward_4w_positive,random_forest_classifier,feature_importance,categorical__ticker_BYDDY,0.0076290781
classification,forward_4w_positive,random_forest_classifier,feature_importance,categorical__ticker_KO,0.0039205435
classification,forward_4w_positive,random_forest_classifier,feature_importance,categorical__ticker_MSFT,0.0036663686
classification,forward_4w_positive,random_forest_classifier,feature_importance,categorical__ticker_NVDA,0.0156498255
classification,forward_12w_positive,logistic_regression,coefficient,numeric__weekly_return,0.0348633667
classification,forward_12w_positive,logistic_regression,coefficient,numeric__momentum_4w,-0.0216695606
classification,forward_12w_positive,logistic_regression,coefficient,numeric__momentum_12w,0.1520285835
classification,forward_12w_positive,logistic_regression,coefficient,numeric__volatility_12w,-0.2629172501
classification,forward_12w_positive,logistic_regression,coefficient,numeric__drawdown_from_52w_high,0.0527113295
classification,forward_12w_positive,logistic_regression,coefficient,numeric__sma_10_distance,0.1890288982
classification,forward_12w_positive,logistic_regression,coefficient,numeric__sma_20_distance,0.2590641181
classification,forward_12w_positive,logistic_regression,coefficient,numeric__rsi_14,-0.6987220975
classification,forward_12w_positive,logistic_regression,coefficient,numeric__macd,-0.0605243161
