date,breakdown_type,group,factor,horizon,n,total_rows,coverage,rank_ic,pearson_corr
2015-08-21,category,international,volatility_12w,1w,4,4,1.0,0.8,0.96827639
2015-08-21,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.07142857,-0.03601589
2015-08-28,category,consumer_retail,volatility_12w,1w,6,6,1.0,-0.02857143,-0.26522425
2015-08-28,category,core_technology,volatility_12w,1w,6,6,1.0,-0.82857143,-0.92500098
2015-08-28,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.25714286,-0.35370922
2015-08-28,category,financial_payments,volatility_12w,1w,5,5,1.0,0.2,-0.22070383
2015-08-28,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.4,-0.03313467
2015-08-28,category,international,volatility_12w,1w,4,4,1.0,-0.4,-0.65911598
2015-08-28,category,semiconductors,volatility_12w,1w,7,7,1.0,0.42857143,0.45876467
2015-09-04,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.37142857,0.4496795
2015-09-04,category,core_technology,volatility_12w,1w,6,6,1.0,0.08571429,0.25692287
2015-09-04,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.14285714,0.31182917
2015-09-04,category,financial_payments,volatility_12w,1w,5,5,1.0,0.4,0.53330813
2015-09-04,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.6,-0.65448847
2015-09-04,category,international,volatility_12w,1w,4,4,1.0,1.0,0.96708062
2015-09-04,category,semiconductors,volatility_12w,1w,7,7,1.0,0.42857143,0.50621394
2015-09-11,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.54285714,0.35907146
2015-09-11,category,core_technology,volatility_12w,1w,6,6,1.0,0.54285714,0.26023472
2015-09-11,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.37142857,0.17751047
2015-09-11,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.4,-0.46814203
2015-09-11,category,industrial_diversified,volatility_12w,1w,4,4,1.0,1.0,0.98390782
2015-09-11,category,international,volatility_12w,1w,4,4,1.0,1.0,0.95902321
2015-09-11,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.78571429,-0.8723232
2015-09-18,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.6,0.43453832
2015-09-18,category,core_technology,volatility_12w,1w,6,6,1.0,-0.25714286,-0.48046848
2015-09-18,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.42857143,-0.54449696
2015-09-18,category,financial_payments,volatility_12w,1w,5,5,1.0,0.6,0.58697586
2015-09-18,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.0,0.11081039
2015-09-18,category,international,volatility_12w,1w,4,4,1.0,0.4,0.62802209
2015-09-18,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.25,-0.6029669
2015-09-25,category,consumer_retail,volatility_12w,1w,6,6,1.0,-0.77142857,-0.56792718
2015-09-25,category,core_technology,volatility_12w,1w,6,6,1.0,0.25714286,0.24480304
2015-09-25,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.14285714,-0.21514537
2015-09-25,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.1,-0.78005402
2015-09-25,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.8,-0.75772219
2015-09-25,category,international,volatility_12w,1w,4,4,1.0,1.0,0.99042641
2015-09-25,category,semiconductors,volatility_12w,1w,7,7,1.0,0.60714286,0.31675303
2015-10-02,category,consumer_retail,volatility_12w,1w,6,6,1.0,-0.54285714,-0.68866772
2015-10-02,category,core_technology,volatility_12w,1w,6,6,1.0,0.25714286,0.05458018
2015-10-02,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.65714286,-0.78399426
2015-10-02,category,financial_payments,volatility_12w,1w,5,5,1.0,0.0,-0.53872712
2015-10-02,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.2,0.33656186
2015-10-02,category,international,volatility_12w,1w,4,4,1.0,-0.2,-0.23648285
2015-10-02,category,semiconductors,volatility_12w,1w,7,7,1.0,0.53571429,0.38353801
2015-10-09,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.08571429,0.03145357
2015-10-09,category,core_technology,volatility_12w,1w,6,6,1.0,0.6,0.59042323
2015-10-09,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.08571429,-0.31417755
2015-10-09,category,financial_payments,volatility_12w,1w,5,5,1.0,0.8,0.59184819
2015-10-09,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.0,0.06860659
2015-10-09,category,international,volatility_12w,1w,4,4,1.0,1.0,0.97456048
2015-10-09,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.28571429,-0.12978595
2015-10-16,category,consumer_retail,volatility_12w,1w,6,6,1.0,-0.6,-0.64467669
2015-10-16,category,core_technology,volatility_12w,1w,6,6,1.0,-0.48571429,-0.58893607
2015-10-16,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.14285714,-0.46511035
2015-10-16,category,financial_payments,volatility_12w,1w,5,5,1.0,0.4,0.32914217
2015-10-16,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.2,-0.08443494
2015-10-16,category,international,volatility_12w,1w,4,4,1.0,-0.2,-0.28735448
2015-10-16,category,semiconductors,volatility_12w,1w,7,7,1.0,0.35714286,0.091151
2015-10-23,category,consumer_retail,volatility_12w,1w,6,6,1.0,-0.2,-0.28841348
2015-10-23,category,core_technology,volatility_12w,1w,6,6,1.0,-0.6,-0.57766895
2015-10-23,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.71428571,0.83330516
2015-10-23,category,financial_payments,volatility_12w,1w,5,5,1.0,0.2,0.31522589
2015-10-23,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.4,-0.46950599
2015-10-23,category,international,volatility_12w,1w,4,4,1.0,0.6,0.42117268
2015-10-23,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.64285714,-0.75137242
2015-10-30,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.14285714,0.07713223
2015-10-30,category,core_technology,volatility_12w,1w,6,6,1.0,-0.2,0.22904017
2015-10-30,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.25714286,-0.14584351
2015-10-30,category,financial_payments,volatility_12w,1w,5,5,1.0,0.7,0.54285551
2015-10-30,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.4,-0.69721617
2015-10-30,category,international,volatility_12w,1w,4,4,1.0,-0.8,-0.41213806
2015-10-30,category,semiconductors,volatility_12w,1w,7,7,1.0,0.03571429,0.27151184
2015-11-06,category,consumer_retail,volatility_12w,1w,6,6,1.0,-0.31428571,-0.34360921
2015-11-06,category,core_technology,volatility_12w,1w,6,6,1.0,-0.77142857,-0.60530489
2015-11-06,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.94285714,-0.9519062
2015-11-06,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.5,-0.39275138
2015-11-06,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.6,-0.37427554
2015-11-06,category,international,volatility_12w,1w,4,4,1.0,-0.8,-0.63829039
2015-11-06,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.64285714,-0.89525046
2015-11-13,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.37142857,0.2510696
2015-11-13,category,core_technology,volatility_12w,1w,6,6,1.0,0.42857143,0.41774132
2015-11-13,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.82857143,-0.90852622
2015-11-13,category,financial_payments,volatility_12w,1w,5,5,1.0,0.2,0.43797105
2015-11-13,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.4,-0.3196492
2015-11-13,category,international,volatility_12w,1w,4,4,1.0,0.8,0.340335
2015-11-13,category,semiconductors,volatility_12w,1w,7,7,1.0,0.21428571,0.47528576
2015-11-20,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.14285714,-0.01182879
2015-11-20,category,core_technology,volatility_12w,1w,6,6,1.0,0.42857143,0.30830523
2015-11-20,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.2,-0.14394906
2015-11-20,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.7,-0.48885785
2015-11-20,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.6,0.38585598
2015-11-20,category,international,volatility_12w,1w,4,4,1.0,0.2,-0.40452882
2015-11-20,category,semiconductors,volatility_12w,1w,7,7,1.0,0.57142857,0.78471121
2015-11-27,category,consumer_retail,volatility_12w,1w,6,6,1.0,-0.31428571,-0.62719552
2015-11-27,category,core_technology,volatility_12w,1w,6,6,1.0,0.71428571,0.70062919
2015-11-27,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.08571429,0.46027686
2015-11-27,category,financial_payments,volatility_12w,1w,5,5,1.0,0.6,0.55960859
2015-11-27,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.2,-0.57619429
2015-11-27,category,international,volatility_12w,1w,4,4,1.0,0.0,0.38911616
2015-11-27,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.25,-0.17946318
2015-12-04,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.14285714,0.00863191
2015-12-04,category,core_technology,volatility_12w,1w,6,6,1.0,-0.2,0.018235
2015-12-04,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.25714286,-0.06112388
2015-12-04,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.7,-0.46673934
2015-12-04,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.8,-0.57828537
2015-12-04,category,international,volatility_12w,1w,4,4,1.0,-1.0,-0.96943754
2015-12-04,category,semiconductors,volatility_12w,1w,7,7,1.0,0.28571429,0.35105848
2015-12-11,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.37142857,0.52031405
2015-12-11,category,core_technology,volatility_12w,1w,6,6,1.0,-0.71428571,-0.51288277
2015-12-11,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.88571429,-0.76964745
2015-12-11,category,financial_payments,volatility_12w,1w,5,5,1.0,0.3,0.28525439
2015-12-11,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.6,-0.27183399
2015-12-11,category,international,volatility_12w,1w,4,4,1.0,0.8,0.76676664
2015-12-11,category,semiconductors,volatility_12w,1w,7,7,1.0,0.14285714,0.08995441
2015-12-18,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.2,-0.25440679
2015-12-18,category,core_technology,volatility_12w,1w,6,6,1.0,0.71428571,0.73645027
2015-12-18,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.77142857,0.81301637
2015-12-18,category,financial_payments,volatility_12w,1w,5,5,1.0,0.1,0.2783387
2015-12-18,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.8,0.75914344
2015-12-18,category,international,volatility_12w,1w,4,4,1.0,0.8,0.6899814
2015-12-18,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.25,0.31817155
2015-12-24,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.02857143,0.32706019
2015-12-24,category,core_technology,volatility_12w,1w,6,6,1.0,-0.65714286,-0.66349969
2015-12-24,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.2,0.33059532
2015-12-24,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.3,-0.67726706
2015-12-24,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.8,-0.96408398
2015-12-24,category,international,volatility_12w,1w,4,4,1.0,-0.8,-0.41937901
2015-12-24,category,semiconductors,volatility_12w,1w,7,7,1.0,0.35714286,0.2634307
2015-12-31,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.02857143,0.50047785
2015-12-31,category,core_technology,volatility_12w,1w,6,6,1.0,-0.37142857,-0.45712948
2015-12-31,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.02857143,-0.2591772
2015-12-31,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.6,-0.79254895
2015-12-31,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.8,0.79765693
2015-12-31,category,international,volatility_12w,1w,4,4,1.0,-0.8,-0.86080253
2015-12-31,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.42857143,-0.81919514
2016-01-08,category,consumer_retail,volatility_12w,1w,6,6,1.0,-0.42857143,-0.52886364
2016-01-08,category,core_technology,volatility_12w,1w,6,6,1.0,-0.25714286,-0.4958274
2016-01-08,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.14285714,0.17302428
2016-01-08,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.6,-0.88679243
2016-01-08,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-1.0,-0.8729826
2016-01-08,category,international,volatility_12w,1w,4,4,1.0,-0.4,-0.40218395
2016-01-08,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.21428571,0.01287497
2016-01-15,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.6,0.54546386
2016-01-15,category,core_technology,volatility_12w,1w,6,6,1.0,0.65714286,0.60404389
2016-01-15,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.54285714,0.77534966
2016-01-15,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.3,0.0101353
2016-01-15,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.4,0.5255238
2016-01-15,category,international,volatility_12w,1w,4,4,1.0,-0.4,-0.37288955
2016-01-15,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.75,-0.4748443
2016-01-22,category,consumer_retail,volatility_12w,1w,6,6,1.0,-0.65714286,-0.38052795
2016-01-22,category,core_technology,volatility_12w,1w,6,6,1.0,-0.54285714,-0.39954694
2016-01-22,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.08571429,-0.17709898
2016-01-22,category,financial_payments,volatility_12w,1w,5,5,1.0,0.5,0.11339942
2016-01-22,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.2,-0.49294108
2016-01-22,category,international,volatility_12w,1w,4,4,1.0,-0.8,-0.7732071
