group,factor,horizon,ic_periods,sample_count,average_group_n,mean_coverage,mean_rank_ic,median_rank_ic,positive_rank_ic_rate,mean_pearson_corr,overall_mean_rank_ic,direction_vs_overall
international,rsi_14,12w,573,2292,4.0,1.0,0.07609075,0.2,0.51308901,0.07679212,0.0332395,same_direction_stronger
core_technology,rsi_14,12w,573,3438,6.0,1.0,0.05878833,0.08571429,0.55671902,0.07670946,0.0332395,same_direction_stronger
semiconductors,rsi_14,12w,573,4011,7.0,1.0,0.04525056,0.0,0.4973822,0.06734413,0.0332395,same_direction_stronger
industrial_diversified,rsi_14,12w,573,2292,4.0,1.0,0.01989529,0.0,0.4904014,0.0618353,0.0332395,same_direction_weaker
defensive_healthcare,rsi_14,12w,573,3438,6.0,1.0,-0.01929693,-0.02857143,0.47818499,-0.02624076,0.0332395,reversed
financial_payments,rsi_14,12w,573,2865,5.0,1.0,-0.02338569,-0.1,0.45200698,-0.01638543,0.0332395,reversed
consumer_retail,rsi_14,12w,573,3438,6.0,1.0,-0.0249813,-0.02857143,0.48342059,-0.0293826,0.0332395,reversed
financial_payments,rsi_14,1w,584,2920,5.0,1.0,0.02808219,0.1,0.51883562,0.02105192,0.01258284,same_direction_stronger
international,rsi_14,1w,584,2336,4.0,1.0,0.01643836,0.0,0.46746575,0.03083365,0.01258284,same_direction_stronger
semiconductors,rsi_14,1w,584,4088,7.0,1.0,0.01051859,0.0,0.48116438,0.00622742,0.01258284,same_direction_weaker
consumer_retail,rsi_14,1w,584,3504,6.0,1.0,0.00117417,0.02857143,0.51369863,-0.00083219,0.01258284,same_direction_weaker
industrial_diversified,rsi_14,1w,584,2336,4.0,1.0,0.00068493,0.0,0.45376712,0.01913105,0.01258284,same_direction_weaker
core_technology,rsi_14,1w,584,3504,6.0,1.0,-0.00283757,-0.02857143,0.4880137,0.0076648,0.01258284,reversed
defensive_healthcare,rsi_14,1w,584,3504,6.0,1.0,-0.03052838,-0.02857143,0.46917808,-0.03566824,0.01258284,reversed
core_technology,rsi_14,4w,581,3486,6.0,1.0,0.04263585,0.02857143,0.53528399,0.04819115,0.02799609,same_direction_stronger
international,rsi_14,4w,581,2324,4.0,1.0,0.04096386,0.0,0.47848537,0.0397753,0.02799609,same_direction_stronger
industrial_diversified,rsi_14,4w,581,2324,4.0,1.0,0.03683305,0.2,0.50430293,0.07559907,0.02799609,same_direction_stronger
semiconductors,rsi_14,4w,581,4067,7.0,1.0,0.02126875,0.0,0.49741824,0.02274814,0.02799609,same_direction_weaker
consumer_retail,rsi_14,4w,581,3486,6.0,1.0,0.01922793,0.02857143,0.51807229,0.02917295,0.02799609,same_direction_weaker
financial_payments,rsi_14,4w,581,2905,5.0,1.0,-0.01015491,0.0,0.48364888,9.78e-05,0.02799609,reversed
defensive_healthcare,rsi_14,4w,581,3486,6.0,1.0,-0.03791492,-0.02857143,0.46987952,-0.03591644,0.02799609,reversed
core_technology,sma_10_distance,12w,577,3462,6.0,1.0,0.05887596,0.08571429,0.54939341,0.06813006,0.03579331,same_direction_stronger
international,sma_10_distance,12w,577,2308,4.0,1.0,0.04818024,0.0,0.49740035,0.03227951,0.03579331,same_direction_stronger
semiconductors,sma_10_distance,12w,577,4039,7.0,1.0,0.03676653,0.03571429,0.50606586,0.04370173,0.03579331,same_direction_stronger
industrial_diversified,sma_10_distance,12w,577,2308,4.0,1.0,0.01733102,0.0,0.48006932,0.04603705,0.03579331,same_direction_weaker
consumer_retail,sma_10_distance,12w,577,3462,6.0,1.0,0.00044566,-0.02857143,0.48873484,-0.0092098,0.03579331,same_direction_weaker
financial_payments,sma_10_distance,12w,577,2885,5.0,1.0,-0.01057192,0.0,0.47833622,0.0020587,0.03579331,reversed
defensive_healthcare,sma_10_distance,12w,577,3462,6.0,1.0,-0.03966328,-0.02857143,0.46967071,-0.03343002,0.03579331,reversed
international,sma_10_distance,1w,588,2352,4.0,1.0,0.03163265,0.2,0.50340136,0.03357162,0.00063048,same_direction_stronger
industrial_diversified,sma_10_distance,1w,588,2352,4.0,1.0,0.01088435,0.0,0.46768707,0.01933803,0.00063048,same_direction_stronger
core_technology,sma_10_distance,1w,588,3528,6.0,1.0,0.00155491,-0.02857143,0.48469388,-0.00047209,0.00063048,same_direction_stronger
semiconductors,sma_10_distance,1w,588,4116,7.0,1.0,-0.00965743,0.0,0.47789116,-0.02087851,0.00063048,reversed
consumer_retail,sma_10_distance,1w,588,3528,6.0,1.0,-0.01166181,-0.02857143,0.48129252,-0.00807814,0.00063048,reversed
financial_payments,sma_10_distance,1w,588,2940,5.0,1.0,-0.0207483,0.0,0.49489796,-0.0214249,0.00063048,reversed
defensive_healthcare,sma_10_distance,1w,588,3528,6.0,1.0,-0.04528669,-0.08571429,0.44217687,-0.05149526,0.00063048,reversed
international,sma_10_distance,4w,585,2340,4.0,1.0,0.07965812,0.2,0.50769231,0.06314996,0.02142141,same_direction_stronger
industrial_diversified,sma_10_distance,4w,585,2340,4.0,1.0,0.06598291,0.2,0.50598291,0.08602758,0.02142141,same_direction_stronger
core_technology,sma_10_distance,4w,585,3510,6.0,1.0,0.04459096,0.02857143,0.51452991,0.04199932,0.02142141,same_direction_stronger
consumer_retail,sma_10_distance,4w,585,3510,6.0,1.0,0.0419536,0.02857143,0.52307692,0.04794768,0.02142141,same_direction_stronger
semiconductors,sma_10_distance,4w,585,4095,7.0,1.0,0.00091575,0.0,0.47008547,-0.00979437,0.02142141,same_direction_weaker
financial_payments,sma_10_distance,4w,585,2925,5.0,1.0,-0.0374359,-0.1,0.45811966,-0.02474377,0.02142141,reversed
defensive_healthcare,sma_10_distance,4w,585,3510,6.0,1.0,-0.07174603,-0.08571429,0.43760684,-0.05576398,0.02142141,reversed
