strategy,symbol,signal_date,execution_date,state,base_amount,extra_amount,crash_fund_amount,final_amount,reason_codes,planned_normal,planned_crash,total_planned,unallocated_cash
dca_l2_v2_portfolio,PORTFOLIO,2021-08-09,2021-08-10,,,,,,,60.0,0.0,60.0,280.0
dca_l2_v2,BYDDY,2021-08-16,2021-08-17,medium_drawdown,18.0,2.28,0.0,20.28,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,MSFT,2021-08-16,2021-08-17,normal,13.2,0.0,0.0,13.2,[],,,,
dca_l2_v2,NVDA,2021-08-16,2021-08-17,normal,10.8,0.0,0.0,10.8,[],,,,
dca_l2_v2,AAPL,2021-08-16,2021-08-17,normal,9.0,0.0,0.0,9.0,[],,,,
dca_l2_v2,ASML,2021-08-16,2021-08-17,normal,6.0,0.0,0.0,6.0,[],,,,
dca_l2_v2,KO,2021-08-16,2021-08-17,normal,3.0,0.0,0.0,3.0,[],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-08-16,2021-08-17,,,,,,,62.28,0.0,62.28,217.72
dca_l2_v2,BYDDY,2021-08-23,2021-08-24,normal,18.0,0.0,0.0,18.0,[],,,,
dca_l2_v2,MSFT,2021-08-23,2021-08-24,normal,13.2,0.0,0.0,13.2,[],,,,
dca_l2_v2,NVDA,2021-08-23,2021-08-24,normal,10.8,0.0,0.0,10.8,[],,,,
dca_l2_v2,AAPL,2021-08-23,2021-08-24,normal,9.0,0.0,0.0,9.0,[],,,,
dca_l2_v2,ASML,2021-08-23,2021-08-24,normal,6.0,0.0,0.0,6.0,[],,,,
dca_l2_v2,KO,2021-08-23,2021-08-24,normal,3.0,0.0,0.0,3.0,[],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-08-23,2021-08-24,,,,,,,60.0,0.0,60.0,157.72
dca_l2_v2,BYDDY,2021-08-30,2021-08-31,small_drawdown,18.0,0.59,0.0,18.59,"['EXTRA_DIP_BUY', 'NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2,MSFT,2021-08-30,2021-08-31,normal,13.2,0.0,0.0,13.2,"['NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2,NVDA,2021-08-30,2021-08-31,normal,10.8,0.0,0.0,10.8,"['NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2,AAPL,2021-08-30,2021-08-31,normal,9.0,0.0,0.0,9.0,"['NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2,ASML,2021-08-30,2021-08-31,normal,6.0,0.0,0.0,6.0,"['NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2,KO,2021-08-30,2021-08-31,normal,3.0,0.0,0.0,3.0,"['NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-08-30,2021-08-31,,,,,,,57.73,0.0,57.73,99.99
dca_l2_v2,BYDDY,2021-09-03,2021-09-07,small_drawdown,22.5,2.0,0.0,24.5,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,MSFT,2021-09-03,2021-09-07,normal,16.5,0.0,0.0,16.5,[],,,,
dca_l2_v2,NVDA,2021-09-03,2021-09-07,normal,13.5,0.0,0.0,13.5,[],,,,
dca_l2_v2,AAPL,2021-09-03,2021-09-07,normal,11.25,0.0,0.0,11.25,[],,,,
dca_l2_v2,ASML,2021-09-03,2021-09-07,normal,7.5,0.0,0.0,7.5,[],,,,
dca_l2_v2,KO,2021-09-03,2021-09-07,normal,3.75,0.0,0.0,3.75,[],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-09-03,2021-09-07,,,,,,,77.0,0.0,77.0,323.0
dca_l2_v2,BYDDY,2021-09-13,2021-09-14,small_drawdown,22.5,1.61,0.0,24.11,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,MSFT,2021-09-13,2021-09-14,normal,16.5,0.0,0.0,16.5,[],,,,
dca_l2_v2,NVDA,2021-09-13,2021-09-14,normal,13.5,0.0,0.0,13.5,[],,,,
dca_l2_v2,AAPL,2021-09-13,2021-09-14,normal,11.25,0.0,0.0,11.25,[],,,,
dca_l2_v2,ASML,2021-09-13,2021-09-14,normal,7.5,0.0,0.0,7.5,[],,,,
dca_l2_v2,KO,2021-09-13,2021-09-14,normal,3.75,0.0,0.0,3.75,[],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-09-13,2021-09-14,,,,,,,76.61,0.0,76.61,246.39
dca_l2_v2,BYDDY,2021-09-20,2021-09-21,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2021-09-20,2021-09-21,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2021-09-20,2021-09-21,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2021-09-20,2021-09-21,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2021-09-20,2021-09-21,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2021-09-20,2021-09-21,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-09-20,2021-09-21,,,,,,,37.51,0.0,37.51,208.88
dca_l2_v2,BYDDY,2021-09-27,2021-09-28,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,MSFT,2021-09-27,2021-09-28,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,NVDA,2021-09-27,2021-09-28,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,AAPL,2021-09-27,2021-09-28,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,ASML,2021-09-27,2021-09-28,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,KO,2021-09-27,2021-09-28,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-09-27,2021-09-28,,,,,,,37.51,0.0,37.51,171.37
dca_l2_v2,BYDDY,2021-10-04,2021-10-05,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2021-10-04,2021-10-05,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2021-10-04,2021-10-05,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2021-10-04,2021-10-05,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2021-10-04,2021-10-05,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2021-10-04,2021-10-05,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-10-04,2021-10-05,,,,,,,37.51,0.0,37.51,362.49
dca_l2_v2,BYDDY,2021-10-11,2021-10-12,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2021-10-11,2021-10-12,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2021-10-11,2021-10-12,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2021-10-11,2021-10-12,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2021-10-11,2021-10-12,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2021-10-11,2021-10-12,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-10-11,2021-10-12,,,,,,,37.51,0.0,37.51,324.98
dca_l2_v2,BYDDY,2021-10-18,2021-10-19,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,MSFT,2021-10-18,2021-10-19,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,NVDA,2021-10-18,2021-10-19,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,AAPL,2021-10-18,2021-10-19,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,ASML,2021-10-18,2021-10-19,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,KO,2021-10-18,2021-10-19,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-10-18,2021-10-19,,,,,,,37.51,0.0,37.51,287.47
dca_l2_v2,BYDDY,2021-10-25,2021-10-26,normal,22.5,0.0,0.0,22.5,[],,,,
dca_l2_v2,MSFT,2021-10-25,2021-10-26,normal,16.5,0.0,0.0,16.5,[],,,,
dca_l2_v2,NVDA,2021-10-25,2021-10-26,normal,13.5,0.0,0.0,13.5,[],,,,
dca_l2_v2,AAPL,2021-10-25,2021-10-26,small_drawdown,11.25,0.04,0.0,11.29,['EXTRA_DIP_BUY'],,,,
