task,target,model,importance_type,feature,value
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_WMT,0.0
regression,forward_4w_return,ridge,coefficient,numeric__weekly_return,0.000210538
regression,forward_4w_return,ridge,coefficient,numeric__momentum_4w,-0.001519745
regression,forward_4w_return,ridge,coefficient,numeric__momentum_12w,0.0001292201
regression,forward_4w_return,ridge,coefficient,numeric__volatility_12w,0.0050133058
regression,forward_4w_return,ridge,coefficient,numeric__drawdown_from_52w_high,0.0032372296
regression,forward_4w_return,ridge,coefficient,numeric__sma_10_distance,-0.007651948
regression,forward_4w_return,ridge,coefficient,numeric__sma_20_distance,0.0049109898
regression,forward_4w_return,ridge,coefficient,numeric__rsi_14,0.0032644097
regression,forward_4w_return,ridge,coefficient,numeric__macd,-0.0014776905
regression,forward_4w_return,ridge,coefficient,categorical__ticker_AAPL,0.0040091523
regression,forward_4w_return,ridge,coefficient,categorical__ticker_AMD,0.0228624253
regression,forward_4w_return,ridge,coefficient,categorical__ticker_AMZN,0.0084765535
regression,forward_4w_return,ridge,coefficient,categorical__ticker_ASML,0.0075739655
regression,forward_4w_return,ridge,coefficient,categorical__ticker_AVGO,0.0088924124
regression,forward_4w_return,ridge,coefficient,categorical__ticker_AXP,-0.0041009602
regression,forward_4w_return,ridge,coefficient,categorical__ticker_BABA,-0.0180154615
regression,forward_4w_return,ridge,coefficient,categorical__ticker_BAC,-0.0059634307
regression,forward_4w_return,ridge,coefficient,categorical__ticker_BYDDY,0.0030637004
regression,forward_4w_return,ridge,coefficient,categorical__ticker_CAT,5.76616e-05
regression,forward_4w_return,ridge,coefficient,categorical__ticker_COST,0.0044298748
regression,forward_4w_return,ridge,coefficient,categorical__ticker_DE,0.0008470743
regression,forward_4w_return,ridge,coefficient,categorical__ticker_GE,-0.0108363325
regression,forward_4w_return,ridge,coefficient,categorical__ticker_GOOGL,0.0024864189
regression,forward_4w_return,ridge,coefficient,categorical__ticker_HD,0.0003689918
regression,forward_4w_return,ridge,coefficient,categorical__ticker_HON,-0.0038878308
regression,forward_4w_return,ridge,coefficient,categorical__ticker_INTC,-0.0118057646
regression,forward_4w_return,ridge,coefficient,categorical__ticker_JNJ,-0.0052818866
regression,forward_4w_return,ridge,coefficient,categorical__ticker_JPM,-0.0011519823
regression,forward_4w_return,ridge,coefficient,categorical__ticker_KO,-0.0061459803
regression,forward_4w_return,ridge,coefficient,categorical__ticker_MA,0.0042973754
regression,forward_4w_return,ridge,coefficient,categorical__ticker_MCD,0.0002610558
regression,forward_4w_return,ridge,coefficient,categorical__ticker_META,0.0035488225
regression,forward_4w_return,ridge,coefficient,categorical__ticker_MRK,-0.0036853383
regression,forward_4w_return,ridge,coefficient,categorical__ticker_MSFT,0.0075989792
